Timestamp,real_rpm,rpm_set,real_rpm,rpm_set
10327000,214,210,212,210
10340000,210,210,210,210
10353000,230,210,230,210
10366000,211,210,211,210
10379000,221,210,221,210
10392000,215,210,213,210
10404000,209,210,214,210
10417000,214,210,214,210
10430000,201,210,198,210
10443000,194,210,194,210
10455000,195,210,195,210
10467000,210,210,210,210
10480000,235,210,235,210
10493000,212,210,211,210
10505000,215,210,223,210
10517000,214,210,214,210
10529000,209,210,210,210
10542000,216,210,217,210
10555000,212,210,208,210
10567000,205,210,201,210
10579000,200,210,197,210
10592000,191,210,192,210
10605000,210,210,215,210
10617000,210,210,210,210
10630000,211,210,210,210
10643000,216,210,216,210
10656000,214,210,209,210
10669000,212,210,212,210
10682000,209,210,204,210
10695000,216,210,211,210
10708000,206,210,206,210
10720000,198,210,198,210
10733000,197,210,200,210
10746000,200,210,202,210
10759000,215,210,219,210
10772000,222,210,222,210
10784000,212,210,212,210
10797000,221,210,214,210
10809000,214,210,210,210
10822000,222,210,218,210
10835000,215,210,215,210
10848000,209,210,207,210
10861000,201,210,201,210
10874000,192,210,191,210
10887000,210,210,210,210
10900000,212,210,212,210
10913000,209,210,209,210
10925000,223,210,223,210
10938000,212,210,214,210
10951000,218,210,218,210
10963000,213,210,213,210
10976000,215,210,215,210
10989000,215,210,212,210
11002000,200,210,198,210
11015000,197,210,197,210
11028000,197,210,200,210
11041000,216,210,216,210
11053000,232,210,232,210
11066000,214,210,214,210
11079000,228,210,223,210
11092000,213,210,213,210
11105000,224,210,225,210
11118000,217,210,217,210
11130000,210,210,211,210
11143000,202,210,202,210
11157000,193,210,192,210
11170000,200,210,208,210
11183000,213,210,212,210
11195000,211,210,211,210
11208000,233,210,223,210
11220000,210,210,212,210
11233000,221,210,221,210
11246000,212,210,212,210
11258000,206,210,206,210
11271000,211,210,214,210
11284000,199,210,199,210
11296000,193,210,193,210
11309000,197,210,196,210
11321000,203,210,210,210
11333000,237,210,237,210
11345000,214,210,214,210
11357000,215,210,215,210
11370000,212,210,211,210
11383000,210,210,210,210
11396000,215,210,217,210
11409000,208,210,208,210
11422000,201,210,201,210
11435000,198,210,198,210
11448000,192,210,192,210
11461000,216,210,217,210
11474000,207,210,203,210
11486000,210,210,210,210
11500000,214,210,214,210
11513000,211,210,210,210
11526000,211,210,215,210
11539000,205,210,205,210
11551000,213,210,212,210
11563000,208,210,207,210
11576000,199,210,196,210
11589000,200,210,201,210
11601000,200,210,203,210
11613000,212,210,221,210
11626000,222,210,220,210
11640000,213,210,213,210
11652000,216,210,216,210
11665000,214,210,209,210
11678000,220,210,220,210
11690000,216,210,216,210
11702000,211,210,208,210
11715000,203,210,203,210
11727000,191,210,191,210
11740000,203,210,208,210
11752000,213,210,212,210
11765000,211,210,211,210
11778000,229,210,222,210
11791000,212,210,212,210
11803000,223,210,223,210
11815000,216,210,213,210
11828000,210,210,213,210
11842000,214,210,214,210
11854000,199,210,197,210
11867000,192,210,192,210
11879000,197,210,196,210
11892000,212,210,214,210
11906000,237,210,227,210
11919000,212,210,214,210
11932000,226,210,222,210
11945000,212,210,212,210
11958000,222,210,224,210
11971000,223,210,217,210
11984000,208,210,211,210
11996000,203,210,203,210
12008000,196,210,196,210
12021000,195,210,195,210
12033000,220,210,213,210
12046000,204,210,204,210
12058000,211,210,229,210
12072000,210,210,210,210
12085000,209,210,219,210
12098000,214,210,214,210
12111000,206,210,207,210
12124000,213,210,213,210
12137000,204,210,201,210
12149000,195,210,194,210
12161000,202,210,197,210
12174000,203,210,203,210
12187000,222,210,235,210
12200000,214,210,214,210
12213000,214,210,221,210
12226000,213,210,213,210
12239000,209,210,212,210
12251000,216,210,216,210
12264000,209,210,207,210
12277000,199,210,199,210
12290000,197,210,196,210
12303000,192,210,192,210
12316000,219,210,219,210
12329000,209,210,205,210
12341000,211,210,211,210
12354000,216,210,216,210
12367000,212,210,209,210
12380000,212,210,212,210
12393000,204,210,205,210
12406000,211,210,211,210
12419000,205,210,205,210
12431000,199,210,198,210
12443000,199,210,200,210
12456000,201,210,201,210
12469000,216,210,219,210
12481000,219,210,219,210
12494000,212,210,214,210
12508000,213,210,213,210
12521000,210,210,210,210
12533000,222,210,217,210
12546000,216,210,209,210
12559000,210,210,203,210
12572000,198,210,198,210
12585000,191,210,191,210
12598000,212,210,212,210
12610000,212,210,212,210
12623000,212,210,212,210
12636000,219,210,219,210
12649000,216,210,213,210
12661000,211,210,211,210
12674000,210,210,206,210
12687000,213,210,213,210
12700000,206,210,206,210
12712000,196,210,200,210
12725000,199,210,199,210
12737000,198,210,198,210
12749000,214,210,214,210
12761000,230,210,230,210
12774000,214,210,213,210
12787000,227,210,224,210
12799000,211,210,211,210
12812000,220,210,223,210
12824000,223,210,219,210
12838000,208,210,208,210
12850000,202,210,203,210
12862000,196,210,196,210
12875000,193,210,194,210
12888000,214,210,212,210
12900000,204,210,211,210
12913000,209,210,229,210
12927000,213,210,210,210
12940000,216,210,216,210
12952000,215,210,215,210
12964000,206,210,206,210
12977000,212,210,212,210
12990000,204,210,204,210
13002000,196,210,196,210
13014000,200,210,198,210
13027000,203,210,203,210
13039000,222,210,222,210
13052000,219,210,215,210
13065000,214,210,214,210
13077000,213,210,213,210
13090000,208,210,210,210
13102000,219,210,214,210
13114000,216,210,214,210
13127000,206,210,206,210
13140000,202,210,198,210
13153000,192,210,191,210
13165000,205,210,211,210
13177000,212,210,212,210
13189000,212,210,211,210
13201000,231,210,227,210
13213000,210,210,210,210
13226000,222,210,222,210
13239000,214,210,213,210
13251000,207,210,209,210
13264000,214,210,214,210
13277000,203,210,197,210
13289000,195,210,194,210
13302000,196,210,196,210
13315000,203,210,214,210
13328000,236,210,236,210
13341000,211,210,211,210
13353000,217,210,227,210
13365000,212,210,212,210
13378000,210,210,213,210
13391000,221,210,221,210
13404000,208,210,207,210
13416000,202,210,199,210
13429000,197,210,197,210
13442000,194,210,195,210
13454000,220,210,220,210
13466000,212,210,205,210
13479000,212,210,212,210
13492000,217,210,215,210
13506000,210,210,211,210
13518000,211,210,211,210
13531000,207,210,204,210
13543000,214,210,213,210
13556000,205,210,205,210
13568000,197,210,198,210
13580000,199,210,201,210
13593000,202,210,202,210
13606000,219,210,220,210
13618000,227,210,218,210
13631000,216,210,210,210
13643000,226,210,217,210
13656000,211,210,209,210
13668000,223,210,222,210
13680000,218,210,217,210
13693000,212,210,212,210
13706000,203,210,203,210
13718000,197,210,191,210
13730000,194,210,197,210
13743000,211,210,211,210
13756000,208,210,211,210
13770000,230,210,227,210
13782000,209,210,213,210
13795000,222,210,222,210
13807000,215,210,215,210
13820000,208,210,211,210
13833000,214,210,214,210
13846000,202,210,197,210
13859000,194,210,194,210
13871000,197,210,197,210
13884000,207,210,207,210
13897000,237,210,238,210
13910000,212,210,214,210
13923000,218,210,226,210
13937000,213,210,211,210
13950000,214,210,224,210
13963000,222,210,222,210
13976000,207,210,211,210
13990000,202,210,202,210
14002000,194,210,194,210
14015000,194,210,196,210
14028000,213,210,213,210
14041000,203,210,212,210
14053000,221,210,230,210
14065000,210,210,210,210
14078000,213,210,222,210
14090000,214,210,215,210
14103000,206,210,206,210
14116000,212,210,214,210
14128000,205,210,203,210
14140000,197,210,194,210
14154000,199,210,197,210
14168000,203,210,214,210
14181000,235,210,235,210
14193000,213,210,213,210
14206000,216,210,226,210
14219000,213,210,213,210
14232000,210,210,212,210
14245000,216,210,220,210
14258000,207,210,207,210
14271000,200,210,200,210
14283000,199,210,198,210
14296000,193,210,193,210
14309000,219,210,219,210
14322000,206,210,206,210
14335000,211,210,213,210
14347000,216,210,213,210
14359000,211,210,211,210
14371000,212,210,212,210
14384000,205,210,205,210
14396000,213,210,212,210
14409000,207,210,207,210
14422000,199,210,197,210
14435000,199,210,200,210
14447000,198,210,201,210
14460000,214,210,219,210
14472000,225,210,220,210
14486000,211,210,212,210
14499000,217,210,214,210
14512000,211,210,210,210
14524000,223,210,219,210
14538000,216,210,214,210
14550000,212,210,212,210
14563000,201,210,200,210
14576000,190,210,190,210
14589000,204,210,210,210
14601000,211,210,211,210
14613000,211,210,211,210
14625000,226,210,226,210
14638000,213,210,214,210
14651000,220,210,220,210
14663000,214,210,214,210
14676000,211,210,215,210
14689000,214,210,214,210
14702000,199,210,198,210
14715000,195,210,195,210
14728000,196,210,198,210
14740000,214,210,216,210
14752000,237,210,233,210
14765000,211,210,214,210
14777000,228,210,228,210
14790000,214,210,212,210
14804000,216,210,222,210
14816000,224,210,224,210
14830000,208,210,209,210
14844000,203,210,204,210
14857000,196,210,196,210
